DATE,Gold Price
2025-01-02,1524000.0
2025-01-03,1543000.0
2025-01-04,1539000.0
2025-01-05,1539000.0
2025-01-06,1539000.0
2025-01-07,1535000.0
2025-01-08,1541000.0
2025-01-09,1546000.0
2025-01-10,1555000.0
2025-01-11,1568000.0
2025-01-12,1568000.0
2025-01-13,1568000.0
2025-01-14,1560000.0
2025-01-15,1564000.0
2025-01-16,1577000.0
2025-01-17,1594000.0
2025-01-18,1587000.0
2025-01-19,1587000.0
2025-01-20,1585000.0
2025-01-21,1591000.0
2025-01-22,1606000.0
2025-01-23,1607000.0
2025-01-24,1608000.0
2025-01-25,1611000.0
2025-01-26,1611000.0
2025-01-27,1609000.0
2025-01-28,1597000.0
2025-01-29,1607000.0
2025-01-30,1606000.0
2025-01-31,1620000.0
2025-02-01,1624000.0
2025-02-02,1624000.0
2025-02-03,1621000.0
2025-02-04,1650000.0
2025-02-05,1663000.0
2025-02-06,1670000.0
2025-02-07,1660000.0
2025-02-08,1662000.0
2025-02-09,1662000.0
2025-02-10,1667000.0
2025-02-11,1692000.0
2025-02-12,1684000.0
2025-02-13,1692000.0
2025-02-14,1701000.0
2025-02-15,1678000.0
2025-02-16,1678000.0
2025-02-17,1671000.0
2025-02-18,1679000.0
2025-02-19,1691000.0
2025-02-20,1708000.0
2025-02-21,1707000.0
2025-02-22,1704000.0
2025-02-23,1704000.0
2025-02-24,1705000.0
2025-02-25,1707000.0
2025-02-26,1694000.0
2025-02-27,1692000.0
2025-02-28,1678000.0
2025-03-01,1672000.0
2025-03-02,1672000.0
2025-03-03,1679000.0
2025-03-04,1704000.0
2025-03-05,1709000.0
2025-03-06,1706000.0
2025-03-07,1690000.0
2025-03-08,1690000.0
2025-03-09,1690000.0
2025-03-10,1693000.0
2025-03-11,1679000.0
2025-03-12,1702000.0
2025-03-13,1714000.0
2025-03-14,1742000.0
2025-03-15,1739000.0
2025-03-16,1739000.0
2025-03-17,1741000.0
2025-03-18,1745000.0
2025-03-19,1759000.0
2025-03-20,1774000.0
2025-03-21,1779000.0
2025-03-22,1764000.0
2025-03-23,1764000.0
2025-03-24,1765000.0
2025-03-25,1759000.0
2025-03-26,1769000.0
2025-03-27,1776000.0
2025-03-28,1792000.0
2025-03-29,1806000.0
2025-03-30,1806000.0
2025-03-31,1816000.0
2025-04-01,1826000.0
2025-04-02,1819000.0
2025-04-03,1836000.0
2025-04-04,1819000.0
2025-04-05,1781000.0
2025-04-06,1781000.0
2025-04-07,1758000.0
2025-04-08,1754000.0
2025-04-09,1794500.0
2025-04-10,1846000.0
2025-04-11,1889000.0
2025-04-12,1904000.0
2025-04-13,1904000.0
2025-04-14,1896000.0
2025-04-15,1896000.0
2025-04-16,1929500.0
2025-04-17,1975000.0
2025-04-18,1965000.0
2025-04-19,1965000.0
2025-04-20,1965000.0
2025-04-21,1980000.0
2025-04-22,2027500.0
2025-04-23,1991000.0
2025-04-24,1969000.0
2025-04-25,1986000.0
2025-04-26,1965000.0
2025-04-27,1965000.0
2025-04-28,1960000.0
2025-04-29,1966000.0
2025-04-30,1965000.0
2025-05-01,1932000.0
2025-05-02,1912000.0
2025-05-03,1902000.0
2025-05-04,1902000.0
2025-05-05,1905000.0
2025-05-06,1931000.0
2025-05-07,1956000.0
2025-05-08,1953000.0
2025-05-09,1926000.0
2025-05-10,1928000.0
2025-05-11,1928000.0
2025-05-12,1905000.0
2025-05-13,1884000.0
2025-05-14,1886000.0
2025-05-15,1866000.0
2025-05-16,1891000.0
2025-05-17,1871000.0
2025-05-18,1871000.0
2025-05-19,1894000.0
2025-05-20,1871000.0
2025-05-21,1904500.0
2025-05-22,1923000.0
2025-05-23,1910000.0
2025-05-24,1930000.0
2025-05-25,1930000.0
2025-05-26,1919000.0
2025-05-27,1923000.0
2025-05-28,1895000.0
2025-05-29,1874000.0
2025-05-30,1900000.0
2025-05-31,1888000.0
2025-06-01,1888000.0
2025-06-02,1905000.0
2025-06-03,1940000.0
2025-06-04,1924000.0
2025-06-05,1938000.0
2025-06-06,1929000.0
2025-06-07,1904000.0
2025-06-08,1904000.0
2025-06-09,1904000.0
2025-06-10,1909000.0
2025-06-11,1910000.0
2025-06-12,1928000.0
2025-06-13,1951000.0
2025-06-14,1960000.0
2025-06-15,1960000.0
2025-06-16,1968000.0
2025-06-17,1950000.0
2025-06-18,1943000.0
2025-06-19,1937000.0
2025-06-20,1936000.0
2025-06-21,1942000.0
2025-06-22,1942000.0
2025-06-23,1942000.0
2025-06-24,1932000.0
2025-06-25,1932000.0
2025-06-26,1924000.0
2025-06-27,1907000.0
2025-06-28,1884000.0
2025-06-29,1884000.0
2025-06-30,1880000.0
2025-07-01,1896000.0
2025-07-02,1903500.0
2025-07-03,1911000.0
2025-07-04,1907000.0
2025-07-05,1908000.0
2025-07-06,1904500.0
2025-07-07,1901000.0
2025-07-08,1906000.0
2025-07-09,1894000.0
2025-07-10,1902000.0
2025-07-11,1904000.0
2025-07-12,1919000.0
2025-07-13,1921500.0
2025-07-14,1924000.0
2025-07-15,1914000.0
2025-07-16,1908000.0
2025-07-17,1919000.0
2025-07-18,1917000.0
2025-07-19,1927000.0
2025-07-20,1927000.0
2025-07-21,1927000.0
2025-07-22,1946000.0
2025-07-23,1970000.0
2025-07-24,1945000.0
2025-07-25,1934000.0
2025-07-26,1915000.0
2025-07-27,1914500.0
2025-07-28,1914000.0
2025-07-29,1906000.0
2025-07-30,1918000.0
2025-07-31,1901000.0
2025-08-01,1901000.0
2025-08-02,1948000.0
2025-08-03,1947000.0
2025-08-04,1946000.0
2025-08-05,1959000.0
2025-08-06,1950000.0
2025-08-07,1943000.0
2025-08-08,1959000.0
2025-08-09,1951000.0
2025-08-10,1948000.0
2025-08-11,1945000.0
2025-08-12,1924000.0
2025-08-13,1917000.0
2025-08-14,1933000.0
2025-08-15,1909000.0
2025-08-16,1896000.0
2025-08-17,1895000.0
2025-08-18,1894000.0
2025-08-19,1897000.0
2025-08-20,1890000.0
2025-08-21,1914000.0
2025-08-22,1916000.0
2025-08-23,1933000.0
2025-08-24,1931000.0
2025-08-25,1929000.0
2025-08-26,1932000.0
2025-08-27,1940000.0
2025-08-28,1944000.0
2025-08-29,1964000.0
2025-08-30,1980000.0
2025-08-31,1984500.0
2025-09-01,1989000.0
2025-09-02,2009000.0
2025-09-03,2035000.0
2025-09-04,2044000.0
2025-09-05,2042000.0
2025-09-06,2060000.0
2025-09-07,2060000.0
2025-09-08,2060000.0
2025-09-09,2086000.0
2025-09-10,2074000.0
2025-09-11,2095000.0
2025-09-12,2088000.0
2025-09-13,2095000.0
2025-09-14,2094000.0
2025-09-15,2093000.0
2025-09-16,2105000.0
2025-09-17,2115000.0
2025-09-18,2098000.0
2025-09-19,2090000.0
2025-09-20,2122000.0
2025-09-21,2122500.0
2025-09-22,2123000.0
2025-09-23,2164000.0
2025-09-24,2174000.0
2025-09-25,2171000.0
2025-09-26,2175000.0
2025-09-27,2191000.0
2025-09-28,2200500.0
2025-09-29,2210000.0
2025-09-30,2234000.0
2025-10-01,2237000.0
2025-10-02,2235000.0
2025-10-03,2235000.0
2025-10-04,2239000.0
2025-10-05,2244500.0
2025-10-06,2250000.0
2025-10-07,2284000.0
2025-10-08,2296000.0
2025-10-09,2303000.0
2025-10-10,2294000.0
2025-10-11,2299000.0
2025-10-12,2308500.0
2025-10-13,2318000.0
2025-10-14,2360000.0
2025-10-15,2383000.0
2025-10-16,2407000.0
2025-10-17,2485000.0
2025-10-18,2428000.0
2025-10-19,2421500.0
2025-10-20,2415000.0
2025-10-21,2487000.0
2025-10-22,2323500.0
2025-10-23,2321000.0
2025-10-24,2354000.0
2025-10-25,2350000.0
2025-10-26,2338500.0
2025-10-27,2327000.0
2025-10-28,2282000.0
2025-10-29,2267000.0
2025-10-30,2263000.0
2025-10-31,2305000.0
2025-11-01,2290000.0
2025-11-02,2284000.0
2025-11-03,2278000.0
2025-11-04,2286000.0
2025-11-05,2260000.0
2025-11-06,2287000.0
2025-11-07,2296000.0
2025-11-08,2299000.0
2025-11-09,2311666.666666667
2025-11-10,2324333.3333333335
2025-11-11,2360000.0
2025-11-12,2367000.0
2025-11-13,2396000.0
2025-11-14,2398000.0
2025-11-15,2348000.0
2025-11-16,2349500.0
2025-11-17,2351000.0
2025-11-18,2322000.0
2025-11-19,2343000.0
2025-11-20,2364000.0
